11,Starky Industries,3024,Labourer,90,12
13,Starky Industries,3140,Labourer,80,12
7,Hookins National Lab,3100,HR Employee,70,5
12,S.T.A.R.R.Y Lab,3089,Manager,60,10
10,S.T.A.R.R.Y Lab,3107,Head of Technology,50,1,District A
8,Hookins National Lab,3124,Secretary,40,1
2,Starky Industries,3032,Manager,30,1,Finance
5,S.T.A.R.R.Y Lab,3100,Head of HR,20,1,District X
1,Hookins National Lab,3024,Commander,20,,Some Corp.
3,Starky Industries,3024,Assistant,20,1
9,S.T.A.R.R.Y Lab,3028,Manufacturing Manager,10,5
15,Hookins National Lab,3141,Assistant,30,11
